game_number,guess,correct,too high,too low
1,55,0,1,0
1,44,0,1,0
1,33,0,1,0
1,22,0,1,0
1,11,0,1,0
1,1,0,0,1
1,5,0,0,1
1,7,0,1,0
1,6,1,0,0
2,55,0,0,1
2,66,0,0,1
2,77,0,0,1
2,88,0,0,1
2,99,0,1,0
2,78,0,0,1
2,80,0,0,1
2,84,0,0,1
2,86,0,0,1
2,87,0,0,1
2,88,0,0,1
2,90,0,0,1
2,99,0,1,0
2,94,0,1,0
2,92,1,0,0
3,70,0,1,0
3,46,0,1,0
3,23,0,0,1
3,30,0,1,0
3,26,0,0,1
3,28,1,0,0
4,69,0,1,0
4,47,0,1,0
4,1,0,0,1
4,30,0,1,0
4,28,0,1,0
4,24,0,0,1
4,26,1,0,0
5,87,0,1,0
5,56,0,1,0
5,15,1,0,0
6,29,0,1,0
6,20,0,1,0
6,19,0,1,0
6,10,1,0,0
7,43,0,0,1
7,65,0,0,1
7,87,0,1,0
7,76,0,1,0
7,65,0,0,1
7,66,0,0,1
7,70,0,0,1
7,73,0,0,1
7,75,1,0,0
